,precision,recall,f1-score,support
beige,0.75,0.34146341463414637,0.4692737430167597,123.0
black,0.8005865102639296,0.9161073825503355,0.8544600938967135,298.0
blue,0.9705882352941176,0.84,0.9005847953216375,275.0
brown,0.8311111111111111,0.7890295358649789,0.8095238095238095,237.0
cream,0.6363636363636364,0.22580645161290322,0.3333333333333333,31.0
crimson,0.5,0.5,0.5,8.0
gold,0.3333333333333333,0.04,0.07142857142857142,25.0
green,1.0,0.7608695652173914,0.8641975308641976,46.0
grey,0.7357142857142858,0.9008746355685131,0.8099606815203145,343.0
navy-blue,0.5238095238095238,0.7333333333333333,0.611111111111111,45.0
orange,0.9090909090909091,0.851063829787234,0.8791208791208791,47.0
red,0.9766536964980544,0.9691119691119691,0.9728682170542635,259.0
silver,0.7304347826086957,0.7962085308056872,0.7619047619047619,211.0
titanium,0.7222222222222222,0.7222222222222222,0.7222222222222222,54.0
white,0.9670103092783505,0.9804878048780488,0.9737024221453286,1435.0
yellow,1.0,0.9444444444444444,0.9714285714285714,54.0
accuracy,0.881695789172157,0.881695789172157,0.881695789172157,0.881695789172157
macro avg,0.7741824097242606,0.7069389450019505,0.7190700464932797,3491.0
weighted avg,0.8820263608693892,0.881695789172157,0.8753451620385201,3491.0
